portid,canon,name,lat,lon,portcalls,portcalls_baseline,import_tonnes,export_tonnes,containers,tankers,dry_bulk,as_of
fso82,fso82,fso82,,,0,0.0,0,0,0,0,0,2026-08-28
fso83,fso83,fso83,,,0,0.0,0,0,0,0,0,2026-08-28
fso84,fso84,fso84,,,0,0.0,0,0,0,0,0,2026-08-28
fso85,fso85,fso85,,,0,0.1,0,0,0,0,0,2026-08-28
port1199,port1199,Sikka,22.365,69.808,1,2.0,14929,39158,0,1,0,2026-08-28
port1331,TUTICORIN,V.O. Chidambaranar (Tuticorin),8.766,78.189,3,3.2,15995,7582,2,0,1,2026-08-28
port1367,VIZAG,Visakhapatnam,17.655,83.231,7,6.4,126424,115097,1,0,5,2026-08-28
port2038,KATTUPALLI,Kattupalli,13.303,80.348,1,1.3,2750,3160,1,0,0,2026-08-28
port2039,HAZIRA,Hazira,21.087,72.646,8,4.7,76845,14334,2,3,2,2026-08-28
port207,KOLKATA,Kolkata (Syama Prasad Mookerjee),22.536,88.3,5,2.6,3891,2594,3,0,0,2026-08-28
port2150,port2150,Vizhinjam,8.369,76.994,1,1.5,0,325,1,0,0,2026-08-28
port2151,port2151,Karwar,14.77,74.134,0,0.1,0,0,0,0,0,2026-08-28
port2152,port2152,Port Blair,11.677,92.722,0,0.5,0,0,0,0,0,2026-08-28
port2299,port2299,Gopalpur,19.291,84.957,0,0.1,0,0,0,0,0,2026-08-28
port2344,port2344,Tuna,22.906,70.109,1,0.6,38278,0,0,0,1,2026-08-28
port235,CHENNAI,Chennai,13.1,80.294,6,3.8,58160,20688,1,3,2,2026-08-28
port2378,port2378,Dabhol LNG,17.534,73.147,0,0.1,0,0,0,0,0,2026-08-28
port2430,port2430,Alang,21.411,72.198,0,0.0,0,0,0,0,0,2026-08-28
port2481,port2481,Chhara LNG,20.72,70.744,0,0.1,0,0,0,0,0,2026-08-28
port271,port271,Dahej,21.703,72.575,2,3.8,88573,13536,0,2,0,2026-08-28
port290,port290,Dhamra,20.828,86.96,0,1.3,0,0,0,0,0,2026-08-28
port442,HALDIA,Haldia,22.058,88.104,4,5.2,68260,6471,0,1,3,2026-08-28
port511,port511,Jaigad,17.295,73.219,10,6.0,65612,34670,0,1,1,2026-08-28
port529,port529,Kakinada,16.987,82.272,1,2.0,21854,13396,0,0,1,2026-08-28
port534,KAMARAJAR,Kamarajar (Ennore),13.279,80.339,2,2.4,49641,885,0,1,0,2026-08-28
port540,DEENDAYAL,Deendayal (Kandla),23.009,70.216,5,7.4,33224,46944,2,2,1,2026-08-28
port544,port544,Karaikal,10.841,79.843,1,0.3,52437,0,0,0,1,2026-08-28
port583,COCHIN,Cochin (Kochi),9.969,76.259,5,2.8,12114,17722,1,2,1,2026-08-28
port599,KRISHNAPATNAM,Krishnapatnam,14.261,80.118,2,2.5,117558,10519,0,0,2,2026-08-28
port679,port679,Magdalla,21.134,72.677,4,4.7,1787,460,0,0,1,2026-08-28
port709,MORMUGAO,Mormugao,15.407,73.802,1,1.0,41135,8240,0,0,1,2026-08-28
port776,JNPT,Jawaharlal Nehru (Nhava Sheva),18.917,72.94,18,22.2,74605,141222,6,2,2,2026-08-28
port777,MUNDRA,Mundra,22.763,69.622,11,9.7,85829,91871,8,1,1,2026-08-28
port801,port801,Navlakhi,22.957,70.452,0,0.2,0,0,0,0,0,2026-08-28
port811,NEW_MANGALORE,New Mangalore,12.938,74.819,5,3.1,123589,51905,0,3,2,2026-08-28
port883,PARADIP,Paradip,20.28,86.649,4,5.3,51140,73508,0,1,2,2026-08-28
port907,port907,Pipavav,20.908,71.466,3,2.8,38529,21134,0,0,2,2026-08-28
