portName,month,year,category,dwellTime
APSEZ,JANUARY,2020,Export,117.0
APSEZ,JANUARY,2020,Import,20.0
CHENNAI,JANUARY,2020,Export,78.0
CHENNAI,JANUARY,2020,Import,36.0
COCHIN,JANUARY,2020,Export,68.0
COCHIN,JANUARY,2020,Import,63.0
EASTERN REGION AVG.,JANUARY,2020,Export,78.0
EASTERN REGION AVG.,JANUARY,2020,Import,41.0
HALDIA,JANUARY,2020,Export,80.0
HALDIA,JANUARY,2020,Import,106.0
HAZIRA,JANUARY,2020,Export,107.0
HAZIRA,JANUARY,2020,Import,36.0
JNPT,JANUARY,2020,Export,67.0
JNPT,JANUARY,2020,Import,18.0
KANDLA,JANUARY,2020,Import,68.0
KATTUPALLI,JANUARY,2020,Import,46.0
KOLKATA,JANUARY,2020,Export,76.0
KOLKATA,JANUARY,2020,Import,30.0
KRISHNAPATNAM,JANUARY,2020,Export,66.0
KRISHNAPATNAM,JANUARY,2020,Import,117.0
NMPT,JANUARY,2020,Export,124.0
NMPT,JANUARY,2020,Import,117.0
SOUTHERN REGION AVG.,JANUARY,2020,Export,78.0
SOUTHERN REGION AVG.,JANUARY,2020,Import,42.0
TUTICORIN,JANUARY,2020,Export,85.0
TUTICORIN,JANUARY,2020,Import,26.0
VIZAG,JANUARY,2020,Export,80.0
VIZAG,JANUARY,2020,Import,45.0
WESTERN REGION AVG.,JANUARY,2020,Export,84.0
WESTERN REGION AVG.,JANUARY,2020,Import,19.0
APSEZ,FEBRUARY,2020,Export,109.0
APSEZ,FEBRUARY,2020,Import,21.0
CHENNAI,FEBRUARY,2020,Export,79.0
CHENNAI,FEBRUARY,2020,Import,36.0
COCHIN,FEBRUARY,2020,Export,69.0
COCHIN,FEBRUARY,2020,Import,38.0
EASTERN REGION AVG.,FEBRUARY,2020,Export,69.0
EASTERN REGION AVG.,FEBRUARY,2020,Import,46.0
HALDIA,FEBRUARY,2020,Export,96.0
HALDIA,FEBRUARY,2020,Import,90.0
HAZIRA,FEBRUARY,2020,Export,104.0
HAZIRA,FEBRUARY,2020,Import,35.0
JNPT,FEBRUARY,2020,Export,65.0
JNPT,FEBRUARY,2020,Import,18.0
KANDLA,FEBRUARY,2020,Import,47.0
KATTUPALLI,FEBRUARY,2020,Export,87.0
KATTUPALLI,FEBRUARY,2020,Import,49.0
KOLKATA,FEBRUARY,2020,Export,69.0
KOLKATA,FEBRUARY,2020,Import,30.0
KRISHNAPATNAM,FEBRUARY,2020,Export,60.0
KRISHNAPATNAM,FEBRUARY,2020,Import,75.0
NMPT,FEBRUARY,2020,Export,126.0
NMPT,FEBRUARY,2020,Import,104.0
SOUTHERN REGION AVG.,FEBRUARY,2020,Export,74.0
SOUTHERN REGION AVG.,FEBRUARY,2020,Import,36.0
TUTICORIN,FEBRUARY,2020,Export,67.0
TUTICORIN,FEBRUARY,2020,Import,19.0
VIZAG,FEBRUARY,2020,Export,64.0
VIZAG,FEBRUARY,2020,Import,70.0
WESTERN REGION AVG.,FEBRUARY,2020,Export,82.0
WESTERN REGION AVG.,FEBRUARY,2020,Import,20.0
APSEZ,MARCH,2020,Export,121.0
APSEZ,MARCH,2020,Import,26.0
CHENNAI,MARCH,2020,Export,80.0
CHENNAI,MARCH,2020,Import,32.0
COCHIN,MARCH,2020,Export,80.0
COCHIN,MARCH,2020,Import,51.0
EASTERN REGION AVG.,MARCH,2020,Export,80.0
EASTERN REGION AVG.,MARCH,2020,Import,44.0
HALDIA,MARCH,2020,Export,97.0
HALDIA,MARCH,2020,Import,89.0
HAZIRA,MARCH,2020,Export,116.0
HAZIRA,MARCH,2020,Import,33.0
JNPT,MARCH,2020,Export,66.0
JNPT,MARCH,2020,Import,20.0
KANDLA,MARCH,2020,Import,60.0
KATTUPALLI,MARCH,2020,Export,98.0
KATTUPALLI,MARCH,2020,Import,53.0
KOLKATA,MARCH,2020,Export,89.0
KOLKATA,MARCH,2020,Import,35.0
KRISHNAPATNAM,MARCH,2020,Export,72.0
KRISHNAPATNAM,MARCH,2020,Import,86.0
NMPT,MARCH,2020,Export,116.0
NMPT,MARCH,2020,Import,101.0
SOUTHERN REGION AVG.,MARCH,2020,Export,80.0
SOUTHERN REGION AVG.,MARCH,2020,Import,39.0
TUTICORIN,MARCH,2020,Export,57.0
TUTICORIN,MARCH,2020,Import,20.0
VIZAG,MARCH,2020,Export,67.0
VIZAG,MARCH,2020,Import,43.0
WESTERN REGION AVG.,MARCH,2020,Export,88.0
WESTERN REGION AVG.,MARCH,2020,Import,22.0
APSEZ,APRIL,2020,Export,130.0
