Date,Temperature,Rainfall,WindSpeed,Port
2020-01-01,19.39,0.0,2.21,Mumbai
2020-01-02,20.29,0.0,2.33,Mumbai
2020-01-03,19.84,0.03,2.81,Mumbai
2020-01-04,19.41,0.0,2.53,Mumbai
2020-01-05,20.86,0.0,4.66,Mumbai
2020-01-06,22.83,0.05,4.75,Mumbai
2020-01-07,23.42,0.0,3.7,Mumbai
2020-01-08,22.38,0.0,2.65,Mumbai
2020-01-09,20.25,0.0,2.83,Mumbai
2020-01-10,22.23,0.0,4.2,Mumbai
2020-01-11,23.27,0.0,4.29,Mumbai
2020-01-12,22.99,0.0,3.19,Mumbai
2020-01-13,22.67,0.04,2.22,Mumbai
2020-01-14,21.81,0.01,2.78,Mumbai
2020-01-15,19.85,0.0,3.08,Mumbai
2020-01-16,18.86,0.0,3.05,Mumbai
2020-01-17,17.25,0.0,3.01,Mumbai
2020-01-18,19.59,0.0,2.9,Mumbai
2020-01-19,21.51,0.0,2.6,Mumbai
2020-01-20,23.08,0.0,2.88,Mumbai
2020-01-21,23.23,0.0,2.35,Mumbai
2020-01-22,23.73,0.0,2.73,Mumbai
2020-01-23,24.22,0.0,3.37,Mumbai
2020-01-24,24.57,0.0,3.35,Mumbai
2020-01-25,24.86,0.0,2.94,Mumbai
2020-01-26,24.51,0.0,2.78,Mumbai
2020-01-27,23.5,0.0,2.37,Mumbai
2020-01-28,22.11,0.03,2.23,Mumbai
2020-01-29,20.4,0.0,3.4,Mumbai
2020-01-30,19.28,0.0,2.92,Mumbai
2020-01-31,19.64,0.0,2.93,Mumbai
2020-02-01,21.0,0.0,2.75,Mumbai
2020-02-02,22.57,0.01,3.73,Mumbai
2020-02-03,22.95,0.0,2.2,Mumbai
2020-02-04,22.61,0.0,2.84,Mumbai
2020-02-05,22.22,0.0,3.08,Mumbai
2020-02-06,21.75,0.0,2.73,Mumbai
2020-02-07,20.82,0.0,2.89,Mumbai
2020-02-08,21.98,0.0,3.26,Mumbai
2020-02-09,23.85,0.0,4.36,Mumbai
2020-02-10,25.4,0.0,3.97,Mumbai
2020-02-11,26.13,0.05,3.74,Mumbai
2020-02-12,26.9,0.01,3.58,Mumbai
2020-02-13,26.44,0.01,3.42,Mumbai
2020-02-14,25.75,0.0,3.24,Mumbai
2020-02-15,25.28,0.0,2.98,Mumbai
2020-02-16,25.72,0.0,2.65,Mumbai
2020-02-17,26.84,0.0,3.11,Mumbai
2020-02-18,27.1,0.0,3.38,Mumbai
2020-02-19,26.96,0.0,2.23,Mumbai
2020-02-20,26.63,0.0,2.34,Mumbai
2020-02-21,26.1,0.0,2.78,Mumbai
2020-02-22,26.87,0.0,2.68,Mumbai
2020-02-23,27.07,0.0,2.71,Mumbai
2020-02-24,26.68,0.0,3.17,Mumbai
2020-02-25,26.54,0.0,4.08,Mumbai
2020-02-26,26.5,0.0,4.01,Mumbai
2020-02-27,26.99,0.0,3.78,Mumbai
2020-02-28,27.15,0.0,3.27,Mumbai
2020-02-29,27.14,0.11,2.85,Mumbai
2020-03-01,26.82,0.02,2.75,Mumbai
2020-03-02,26.89,0.0,2.47,Mumbai
2020-03-03,25.3,0.0,2.51,Mumbai
2020-03-04,25.02,0.0,2.44,Mumbai
2020-03-05,24.73,0.0,2.58,Mumbai
2020-03-06,24.76,0.05,3.36,Mumbai
2020-03-07,24.64,0.02,2.83,Mumbai
2020-03-08,24.62,0.0,2.98,Mumbai
2020-03-09,25.22,0.0,2.58,Mumbai
2020-03-10,25.52,0.0,3.24,Mumbai
2020-03-11,24.68,0.03,3.15,Mumbai
2020-03-12,23.81,0.62,2.86,Mumbai
2020-03-13,23.36,0.0,3.56,Mumbai
2020-03-14,25.04,0.0,3.99,Mumbai
2020-03-15,27.42,0.0,3.76,Mumbai
2020-03-16,29.76,0.04,3.83,Mumbai
2020-03-17,30.6,0.02,2.67,Mumbai
2020-03-18,30.41,0.0,3.5,Mumbai
2020-03-19,28.37,0.01,3.12,Mumbai
2020-03-20,27.38,0.0,2.73,Mumbai
2020-03-21,27.31,0.0,2.42,Mumbai
2020-03-22,28.81,0.0,3.09,Mumbai
2020-03-23,29.98,0.08,2.9,Mumbai
2020-03-24,30.81,0.12,2.65,Mumbai
2020-03-25,31.32,0.79,2.11,Mumbai
2020-03-26,30.64,0.63,2.86,Mumbai
2020-03-27,30.39,0.84,2.77,Mumbai
2020-03-28,30.63,0.32,3.75,Mumbai
2020-03-29,31.31,0.33,3.42,Mumbai
2020-03-30,30.81,0.15,2.77,Mumbai
2020-03-31,29.73,0.0,3.07,Mumbai
2020-04-01,30.08,0.0,3.41,Mumbai
2020-04-02,31.18,0.1,3.81,Mumbai
2020-04-03,31.03,0.0,3.25,Mumbai
2020-04-04,30.47,0.01,3.06,Mumbai
2020-04-05,30.33,0.16,2.46,Mumbai
2020-04-06,29.48,0.32,2.61,Mumbai
2020-04-07,29.33,0.0,2.99,Mumbai
2020-04-08,28.63,0.0,2.73,Mumbai
2020-04-09,28.94,0.0,2.95,Mumbai
2020-04-10,30.82,0.01,2.88,Mumbai
2020-04-11,32.64,0.08,2.99,Mumbai
2020-04-12,33.06,1.07,2.59,Mumbai
2020-04-13,32.68,0.39,2.56,Mumbai
2020-04-14,32.97,0.31,2.55,Mumbai
2020-04-15,33.34,0.09,3.18,Mumbai
2020-04-16,32.41,0.48,2.84,Mumbai
2020-04-17,32.09,0.09,2.73,Mumbai
2020-04-18,32.59,0.21,3.17,Mumbai
2020-04-19,33.08,0.83,2.93,Mumbai
2020-04-20,33.14,0.06,3.21,Mumbai
2020-04-21,31.75,0.09,3.46,Mumbai
2020-04-22,31.95,0.01,3.08,Mumbai
2020-04-23,32.04,0.04,2.99,Mumbai
2020-04-24,31.38,0.05,3.37,Mumbai
2020-04-25,30.84,0.01,3.44,Mumbai
2020-04-26,31.06,0.01,3.19,Mumbai
2020-04-27,31.34,0.04,3.19,Mumbai
2020-04-28,32.92,0.11,3.74,Mumbai
2020-04-29,33.07,0.23,2.9,Mumbai
2020-04-30,32.11,0.34,2.95,Mumbai
2020-05-01,31.5,1.0,3.29,Mumbai
2020-05-02,31.76,1.63,3.53,Mumbai
2020-05-03,32.24,0.49,3.78,Mumbai
2020-05-04,31.63,0.06,3.26,Mumbai
2020-05-05,32.39,0.26,4.02,Mumbai
2020-05-06,33.02,0.07,3.35,Mumbai
2020-05-07,32.52,0.01,3.49,Mumbai
2020-05-08,32.0,0.0,2.89,Mumbai
2020-05-09,32.31,0.01,3.13,Mumbai
2020-05-10,32.27,0.06,3.39,Mumbai
2020-05-11,32.51,0.75,3.02,Mumbai
2020-05-12,32.02,0.08,3.24,Mumbai
2020-05-13,31.89,0.07,3.33,Mumbai
2020-05-14,33.32,0.49,3.56,Mumbai
2020-05-15,32.91,0.87,3.67,Mumbai
2020-05-16,32.33,0.32,3.67,Mumbai
2020-05-17,32.18,0.29,4.88,Mumbai
2020-05-18,32.13,0.12,5.28,Mumbai
2020-05-19,31.71,0.04,4.46,Mumbai
2020-05-20,31.8,0.01,3.77,Mumbai
2020-05-21,32.21,0.0,3.72,Mumbai
2020-05-22,32.42,0.0,4.1,Mumbai
2020-05-23,32.5,0.01,4.04,Mumbai
2020-05-24,32.72,0.03,3.5,Mumbai
2020-05-25,32.74,0.01,3.47,Mumbai
2020-05-26,32.17,0.0,3.36,Mumbai
2020-05-27,31.7,0.0,3.76,Mumbai
2020-05-28,31.75,0.0,4.49,Mumbai
2020-05-29,31.95,0.01,4.2,Mumbai
2020-05-30,31.94,0.02,3.62,Mumbai
2020-05-31,31.52,0.71,3.75,Mumbai
2020-06-01,31.31,2.69,1.28,Mumbai
2020-06-02,29.82,22.87,2.75,Mumbai
2020-06-03,27.43,74.26,6.49,Mumbai
2020-06-04,27.52,39.4,4.68,Mumbai
2020-06-05,28.31,3.73,3.56,Mumbai
2020-06-06,28.56,16.7,4.34,Mumbai
2020-06-07,28.16,9.27,3.02,Mumbai
2020-06-08,28.03,15.51,2.9,Mumbai
2020-06-09,27.18,5.39,3.48,Mumbai
2020-06-10,27.66,8.8,3.27,Mumbai
2020-06-11,28.43,6.8,3.23,Mumbai
2020-06-12,28.2,8.65,3.13,Mumbai
2020-06-13,27.44,24.85,2.72,Mumbai
2020-06-14,28.01,14.0,2.95,Mumbai
2020-06-15,27.91,27.55,3.52,Mumbai
2020-06-16,27.3,11.86,3.05,Mumbai
2020-06-17,28.0,13.46,3.92,Mumbai
2020-06-18,27.89,32.44,5.33,Mumbai
2020-06-19,28.42,12.14,3.94,Mumbai
2020-06-20,28.22,4.55,4.09,Mumbai
2020-06-21,27.89,7.22,3.9,Mumbai
2020-06-22,28.34,3.34,4.31,Mumbai
2020-06-23,28.27,5.21,4.67,Mumbai
2020-06-24,28.29,1.01,3.96,Mumbai
2020-06-25,28.64,1.56,2.86,Mumbai
2020-06-26,27.52,4.17,2.34,Mumbai
2020-06-27,27.8,8.23,2.57,Mumbai
2020-06-28,28.14,10.85,2.24,Mumbai
2020-06-29,28.24,36.73,2.74,Mumbai
2020-06-30,27.09,29.84,2.79,Mumbai
2020-07-01,27.28,7.54,4.02,Mumbai
2020-07-02,27.92,12.21,4.53,Mumbai
2020-07-03,27.1,43.62,5.95,Mumbai
2020-07-04,27.12,103.54,5.84,Mumbai
2020-07-05,26.79,60.79,7.32,Mumbai
2020-07-06,27.61,44.96,8.25,Mumbai
2020-07-07,27.3,57.28,7.73,Mumbai
2020-07-08,27.44,20.4,5.63,Mumbai
2020-07-09,27.39,23.9,5.04,Mumbai
2020-07-10,27.4,11.93,5.03,Mumbai
2020-07-11,27.37,14.43,4.78,Mumbai
2020-07-12,26.69,26.51,4.42,Mumbai
2020-07-13,26.73,18.16,3.6,Mumbai
2020-07-14,27.29,31.35,4.23,Mumbai
2020-07-15,26.28,67.41,4.22,Mumbai
2020-07-16,26.02,36.7,5.76,Mumbai
2020-07-17,26.64,27.1,6.27,Mumbai
2020-07-18,27.08,10.68,5.4,Mumbai
2020-07-19,27.19,5.8,3.94,Mumbai
2020-07-20,26.64,9.12,2.75,Mumbai
2020-07-21,26.81,5.01,2.98,Mumbai
2020-07-22,27.01,6.26,2.12,Mumbai
2020-07-23,27.07,10.4,2.24,Mumbai
2020-07-24,26.44,23.0,2.36,Mumbai
2020-07-25,26.11,10.67,3.03,Mumbai
2020-07-26,26.56,9.09,3.57,Mumbai
2020-07-27,26.74,20.23,3.77,Mumbai
2020-07-28,26.68,26.27,2.98,Mumbai
2020-07-29,26.67,14.83,2.84,Mumbai
2020-07-30,27.03,12.99,2.41,Mumbai
2020-07-31,26.58,6.53,2.15,Mumbai
2020-08-01,26.9,9.09,2.77,Mumbai
2020-08-02,27.18,8.9,3.48,Mumbai
2020-08-03,27.08,46.41,4.45,Mumbai
2020-08-04,26.91,109.49,6.92,Mumbai
2020-08-05,26.78,129.26,8.01,Mumbai
2020-08-06,26.34,126.09,7.68,Mumbai
2020-08-07,27.03,24.63,7.23,Mumbai
2020-08-08,26.85,15.15,6.0,Mumbai
2020-08-09,26.71,10.81,5.07,Mumbai
2020-08-10,26.44,34.61,4.84,Mumbai
2020-08-11,26.44,22.1,5.54,Mumbai
2020-08-12,26.13,41.8,6.04,Mumbai
2020-08-13,25.89,55.75,6.0,Mumbai
2020-08-14,26.06,60.58,6.86,Mumbai
2020-08-15,26.1,41.16,6.47,Mumbai
2020-08-16,26.02,33.79,6.28,Mumbai
2020-08-17,25.88,51.77,5.28,Mumbai
2020-08-18,26.06,32.52,5.32,Mumbai
2020-08-19,26.33,19.36,4.82,Mumbai
2020-08-20,25.79,48.99,4.84,Mumbai
2020-08-21,26.08,48.7,5.77,Mumbai
2020-08-22,26.5,20.82,5.86,Mumbai
2020-08-23,26.4,13.15,5.99,Mumbai
2020-08-24,26.45,9.61,5.74,Mumbai
2020-08-25,26.41,6.74,4.49,Mumbai
2020-08-26,26.25,2.87,3.43,Mumbai
