date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId,canon
2026-06-19,2026,6,19,port207,Kolkata (Syama Prasad Mookerje Port),India,IND,3,0,0,0,0,3,3,4196,0,0,0,0,4196,4196,935,0,0,0,0,935,935,3110310,KOLKATA
2026-06-19,2026,6,19,port235,Chennai (Madras),India,IND,2,0,1,0,1,3,4,15490,0,696,0,11492,16186,27678,1539,0,0,0,0,1539,1539,3114236,CHENNAI
2026-06-19,2026,6,19,port271,Dahej,India,IND,0,1,0,0,0,1,1,0,43118,0,0,0,43118,43118,0,2050,0,0,0,2050,2050,3116161,port271
2026-06-19,2026,6,19,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0,83413,0,0,0,83413,83413,0,38127,0,0,0,38127,38127,3118745,port290
2026-06-19,2026,6,19,port442,Haldia,India,IND,1,0,0,0,7,1,8,0,0,0,0,93215,0,93215,1260,0,0,0,6183,1260,7444,3122453,HALDIA
2026-06-19,2026,6,19,port511,Jaigad Port,India,IND,0,1,6,0,0,7,7,0,54555,257,0,0,54813,54813,0,5129,6609,0,0,11738,11738,3124794,port511
2026-06-19,2026,6,19,port529,Kakinada,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3127569,port529
2026-06-19,2026,6,19,port534,Kamarajar Port,India,IND,0,1,0,0,2,1,3,0,57966,0,0,29798,57966,87765,0,2944,0,0,253,2944,3198,3131390,KAMARAJAR
2026-06-19,2026,6,19,port540,Deendayal (Kandla),India,IND,1,2,2,0,2,5,7,653,21376,21096,0,11653,43126,54779,10973,13297,1061,0,814,25332,26146,3133446,DEENDAYAL
2026-06-19,2026,6,19,port544,Karaikal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137650,port544
2026-06-19,2026,6,19,port583,Cochin (Kochi),India,IND,1,0,0,0,3,1,4,0,0,0,0,12637,0,12637,6002,0,0,0,52946,6002,58949,3139929,COCHIN
2026-06-19,2026,6,19,port599,Krishnapatnam Port,India,IND,0,3,0,0,2,3,5,0,176360,0,0,22327,176360,198688,0,16147,0,0,845,16147,16993,3141818,KRISHNAPATNAM
2026-06-19,2026,6,19,port679,Magdalla,India,IND,0,2,3,0,0,5,5,0,0,375,0,0,375,375,0,0,642,0,0,642,642,3144249,port679
2026-06-19,2026,6,19,port709,Mormugao,India,IND,0,2,0,0,0,2,2,0,75128,0,0,0,75128,75128,0,23409,0,0,0,23409,23409,3147259,MORMUGAO
2026-06-19,2026,6,19,port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),India,IND,7,3,8,0,4,18,22,36716,55631,10564,0,21330,102912,124242,99044,4754,555,0,46010,104354,150364,3149053,JNPT
2026-06-19,2026,6,19,port777,Mundra,India,IND,6,2,0,0,1,8,9,39541,114304,0,0,25022,153845,178867,21406,12195,0,0,413,33602,34015,3152717,MUNDRA
2026-06-19,2026,6,19,port801,Navlakhi,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155801,port801
2026-06-19,2026,6,19,port811,New Mangalore,India,IND,1,1,0,0,1,2,3,5336,35090,0,0,0,40427,40427,0,8502,0,0,35352,8502,43855,3156751,NEW_MANGALORE
2026-06-19,2026,6,19,port883,Paradip,India,IND,0,7,1,0,0,8,8,0,122660,2665,0,0,125326,125326,0,248586,2842,0,0,251428,251428,3160201,PARADIP
2026-06-19,2026,6,19,port907,Pipavav,India,IND,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,796,4713,0,5510,5510,3163186,port907
2026-06-19,2026,6,19,port1199,Sikka,India,IND,0,0,1,0,2,1,3,0,0,0,0,1914,0,1914,0,0,0,0,25834,0,25834,3166570,port1199
2026-06-19,2026,6,19,port1331,V. O. Chidambaranar (Tuticorin),India,IND,1,0,0,0,2,1,3,4798,0,0,0,18750,4798,23548,0,0,0,0,2359,0,2359,3168378,TUTICORIN
2026-06-19,2026,6,19,port1367,Visakhapatnam,India,IND,2,4,0,0,2,6,8,0,178751,0,0,116668,178751,295420,22608,31096,0,0,8424,53705,62129,3171808,VIZAG
2026-06-19,2026,6,19,port2038,Kattupalli,India,IND,1,0,0,0,0,1,1,4960,0,0,0,0,4960,4960,0,0,0,0,0,0,0,3859801,KATTUPALLI
2026-06-19,2026,6,19,port2039,Hazira,India,IND,1,2,5,0,1,8,9,0,45717,3443,0,23243,49161,72404,129,10500,0,0,0,10630,10630,3861314,HAZIRA
2026-06-19,2026,6,19,port2150,Vizhinjam,India,IND,2,0,0,0,0,2,2,5342,0,0,0,0,5342,5342,10005,0,0,0,0,10005,10005,4182473,port2150
2026-06-19,2026,6,19,port2151,Karwar,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184356,port2151
2026-06-19,2026,6,19,port2152,Port Blair,India,IND,1,0,0,0,0,1,1,2153,0,0,0,0,2153,2153,297,0,0,0,0,297,297,4188276,port2152
2026-06-19,2026,6,19,port2299,Gopalpur,India,IND,0,1,0,0,0,1,1,0,21656,0,0,0,21656,21656,0,22930,0,0,0,22930,22930,4571303,port2299
2026-06-19,2026,6,19,port2344,Tuna,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693928,port2344
2026-06-19,2026,6,19,port2378,Dhabol LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782386,port2378
2026-06-19,2026,6,19,fso82,India - Offshore Oil Terminal 1,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141531,fso82
2026-06-19,2026,6,19,fso83,India - Offshore Oil Terminal 2,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142322,fso83
