portid,canon,name,lat,lon,portcalls,portcalls_baseline,import_tonnes,export_tonnes,containers,tankers,dry_bulk,as_of
fso82,fso82,fso82,,,0,0.0,0,0,0,0,0,2026-06-19
fso83,fso83,fso83,,,0,0.0,0,0,0,0,0,2026-06-19
fso84,fso84,fso84,,,0,0.1,0,0,0,0,0,2026-06-19
fso85,fso85,fso85,,,0,0.0,0,0,0,0,0,2026-06-19
port1199,port1199,Sikka,22.365,69.808,3,2.5,1914,25834,0,2,0,2026-06-19
port1331,TUTICORIN,V.O. Chidambaranar (Tuticorin),8.766,78.189,3,3.5,23548,2359,1,2,0,2026-06-19
port1367,VIZAG,Visakhapatnam,17.655,83.231,8,8.4,295420,62129,2,2,4,2026-06-19
port2038,KATTUPALLI,Kattupalli,13.303,80.348,1,1.2,4960,0,1,0,0,2026-06-19
port2039,HAZIRA,Hazira,21.087,72.646,9,5.2,72404,10630,1,1,2,2026-06-19
port207,KOLKATA,Kolkata (Syama Prasad Mookerjee),22.536,88.3,3,2.1,4196,935,3,0,0,2026-06-19
port2150,port2150,Vizhinjam,8.369,76.994,2,1.4,5342,10005,2,0,0,2026-06-19
port2151,port2151,Karwar,14.77,74.134,0,0.2,0,0,0,0,0,2026-06-19
port2152,port2152,Port Blair,11.677,92.722,1,0.4,2153,297,1,0,0,2026-06-19
port2299,port2299,Gopalpur,19.291,84.957,1,0.2,21656,22930,0,0,1,2026-06-19
port2344,port2344,Tuna,22.906,70.109,0,0.3,0,0,0,0,0,2026-06-19
port235,CHENNAI,Chennai,13.1,80.294,4,3.8,27678,1539,2,1,0,2026-06-19
port2378,port2378,Dabhol LNG,17.534,73.147,0,0.1,0,0,0,0,0,2026-06-19
port2430,port2430,Alang,21.411,72.198,0,0.0,0,0,0,0,0,2026-06-19
port2481,port2481,Chhara LNG,20.72,70.744,0,0.1,0,0,0,0,0,2026-06-19
port271,port271,Dahej,21.703,72.575,1,2.4,43118,2050,0,0,1,2026-06-19
port290,port290,Dhamra,20.828,86.96,2,1.3,83413,38127,0,0,2,2026-06-19
port442,HALDIA,Haldia,22.058,88.104,8,5.4,93215,7444,1,7,0,2026-06-19
port511,port511,Jaigad,17.295,73.219,7,6.1,54813,11738,0,0,1,2026-06-19
port529,port529,Kakinada,16.987,82.272,0,2.0,0,0,0,0,0,2026-06-19
port534,KAMARAJAR,Kamarajar (Ennore),13.279,80.339,3,2.8,87765,3198,0,2,1,2026-06-19
port540,DEENDAYAL,Deendayal (Kandla),23.009,70.216,7,7.7,54779,26146,1,2,2,2026-06-19
port544,port544,Karaikal,10.841,79.843,0,0.2,0,0,0,0,0,2026-06-19
port583,COCHIN,Cochin (Kochi),9.969,76.259,4,3.0,12637,58949,1,3,0,2026-06-19
port599,KRISHNAPATNAM,Krishnapatnam,14.261,80.118,5,2.2,198688,16993,0,2,3,2026-06-19
port679,port679,Magdalla,21.134,72.677,5,3.0,375,642,0,0,2,2026-06-19
port709,MORMUGAO,Mormugao,15.407,73.802,2,1.1,75128,23409,0,0,2,2026-06-19
port776,JNPT,Jawaharlal Nehru (Nhava Sheva),18.917,72.94,22,23.2,124242,150364,7,4,3,2026-06-19
port777,MUNDRA,Mundra,22.763,69.622,9,10.2,178867,34015,6,1,2,2026-06-19
port801,port801,Navlakhi,22.957,70.452,0,0.0,0,0,0,0,0,2026-06-19
port811,NEW_MANGALORE,New Mangalore,12.938,74.819,3,3.4,40427,43855,1,1,1,2026-06-19
port883,PARADIP,Paradip,20.28,86.649,8,5.4,125326,251428,0,0,7,2026-06-19
port907,port907,Pipavav,20.908,71.466,2,2.9,0,5510,0,0,0,2026-06-19
